"id","__typename","createdAt","description","type","updatedAt","yearCode"
"61bbb147-07ba-40d6-bc6f-4f6bd9a29113","YearLevel","2020-09-27T08:03:40.164Z","Year 6","YL","2020-09-27T08:03:40.164Z","Y6"
"bf812521-9108-4db0-a0f3-5c0df9e74144","YearLevel","2020-09-27T08:03:32.793Z","Year 5","YL","2020-09-27T08:03:32.793Z","Y5"
"22d09520-977f-4e84-8612-91dd2b2d1e30","YearLevel","2020-09-27T08:04:02.598Z","Year 9","YL","2020-09-27T08:04:02.598Z","Y9"
"82901c07-9aa7-41ba-bbc5-f2b07cda0075","YearLevel","2021-01-13T08:24:57.608Z","Year 11","YL","2021-01-13T08:24:57.608Z","Y11"
"04ced72f-846a-4ed3-a65d-1f4dc334a5a7","YearLevel","2020-09-27T08:03:47.544Z","Year 7","YL","2020-09-27T08:03:47.544Z","Y7"
"0c799625-5851-4726-b244-790be1402193","YearLevel","2020-09-27T08:03:10.008Z","Year 2","YL","2020-09-27T08:03:10.008Z","Y2"
"e320537c-d52d-4b23-a704-1e1d71abe20d","YearLevel","2020-09-27T08:03:16.970Z","Year 3","YL","2020-09-27T08:03:16.970Z","Y3"
"01674d7c-b3ac-44e9-b8dd-ed724dd245b7","YearLevel","2020-09-27T07:28:39.684Z","Foundation Year","YL","2020-09-27T07:28:39.684Z","FY"
"77b14d0a-c732-4398-8b7a-663dcd16ef32","YearLevel","2020-09-27T08:04:11.001Z","Year 10","YL","2020-09-27T08:04:11.001Z","Y10"
"c957445f-b2a6-4f7a-9fa4-2495167b503f","YearLevel","2021-01-13T08:24:58.608Z","Year 12","YL","2021-01-13T06:07:49.393Z","Y12"
"3e020192-a8bd-45e5-a22e-5e803dd67193","YearLevel","2020-09-27T08:02:59.900Z","Year 1","YL","2020-09-27T08:02:59.900Z","Y1"
"a81cebe7-167c-4436-931b-ea6e0e0707d5","YearLevel","2020-09-27T07:27:39.684Z","Kindergarten","YL","2020-12-03T06:37:19.015Z","K"
"3c06b876-343e-43db-b2d8-a2475504ee18","YearLevel","2020-09-27T08:03:54.526Z","Year 8","YL","2020-09-27T08:03:54.526Z","Y8"
"7933b702-293d-41f2-823e-ae8468c4f25a","YearLevel","2020-09-27T08:03:25.559Z","Year 4","YL","2020-09-27T08:03:25.559Z","Y4"